DM	left_comp	right_comp	left_smiles	right_smiles
DM58	Exemestane	double reduction products	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C	C[C@]12CC[C@H]3[C@@H](CC(C4=CC(CC[C@]34C)=O)C)[C@@H]1CCC2=O.C[C@]56CC[C@H]7[C@@H](CC(C8CC(C=C[C@]78C)=O)C)[C@@H]5CCC6=O
DM59	flosequinan // NAD(P)H // H+	deoxyflosequinan // NAD(P)	CN1C=C(C(=O)C2=C1C=C(C=C2)F)S(=O)C.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]	CN1C=C(C(=O)C2=C1C=C(C=C2)F)S.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
DM60	flucytosine	5-fu	C1=NC(=O)NC(=C1F)N	C1=C(C(=O)NC(=O)N1)F
DM61	fluphenazine	propionyl-O-fluphenazine	C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO	FC(F)(F)C(C=C1)=CC2=C1SC3=CC=CC=C3N2CCCN4CCN(CCOC(CC)=O)CC4
DM62	Flutamide	nitroreduction product	CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F	CC(C(NC1=CC(C(F)(F)F)=C([NH3+])C=C1)=O)C
DM63	glyceryl trinitrate	glyceryl-1,3-dinitrate; glyceryl-1,2-dinitrate; glyceryl-1-mononitrate; glyceryl-2-mononitrate	O=[N+]([O-])OCC(O[N+]([O-])=O)CO[N+]([O-])=O	CC(O[N+]([O-])=O)C.O=[N+]([O-])OCCCO[N+]([O-])=O.CC(O[N+]([O-])=O)CO[N+]([O-])=O
DM64	hesperidin	hesperitin	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O	COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O
DM65	hydrocortisone (cortisol)	20B-dihydrocortisone	C[C@]12CCC(C=C1CC[C@]3([H])[C@]2([H])[C@@H](O)C[C@@]4(C)[C@@]3([H])CC[C@]4(O)C(CO)=O)=O	C[C@]56CCC(C=C5CC[C@]7([H])[C@]6([H])[C@@H](O)C[C@@]8(C)[C@@]7([H])CC[C@@]8([C@@H](O)CO)O)=O
DM66	hydrocortisone acetate	20B-dihydrocortisone	C[C@]12CCC(C=C1CC[C@]3([H])[C@]2([H])[C@@H](O)C[C@@]4(C)[C@@]3([H])CC[C@]4(O)C(COC(C)=O)=O)=O	C[C@]56CCC(C=C5CC[C@]7([H])[C@]6([H])[C@@H](O)C[C@@]8(C)[C@@]7([H])CC[C@@]8([C@@H](O)CO)O)=O
DM67	Iloperidone	hydrolysis metabolite	CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC.O	CC(C1=CC(OC)=C(OCCCN2CCC(C(C(C=CC(F)=C3)=C3O)=O)CC2)C=C1)=O
